car_ID,symboling,doornumber,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,log_price,log_enginesize,log_horsepower,log_compressionratio,brand_mazda,brand_mitsubishi,brand_nissan,brand_other,brand_peugeot,brand_subaru,brand_toyota,brand_volkswagen,brand_volvo,fueltype_gas,aspiration_turbo,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginelocation_rear,size_pc,power_pc,hp_x_size,weight_x_mpg
1,3,1,88.6,168.8,64.1,48.8,2548,0,2,130,5,3.47,2.68,9.0,111,5000,21,27,13495.0,9.510074525452104,4.867534450455582,4.709530201312334,2.1972245773362196,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,-1.469742170067897,-2.2017643432335463,14430,53508
2,3,1,88.6,168.8,64.1,48.8,2548,0,2,130,5,3.47,2.68,9.0,111,5000,21,27,16500.0,9.711115659888671,4.867534450455582,4.709530201312334,2.1972245773362196,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,-1.469742170067897,-2.2017643432335463,14430,53508
3,1,1,94.5,171.2,65.5,52.4,2823,5,3,152,5,2.68,3.47,9.0,154,5000,19,26,16500.0,9.711115659888671,5.0238805208462765,5.0369526024136295,2.1972245773362196,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,0.37435133739668675,-1.5628120920655806,23408,53637
4,2,0,99.8,176.6,66.2,54.3,2337,3,2,109,5,3.19,3.4,10.0,102,5500,24,30,13950.0,9.543234787249512,4.6913478822291435,4.624972813284271,2.302585092994046,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-0.11503346880448809,0.45631127971330626,11118,56088
5,2,0,99.4,176.6,66.4,54.3,2824,3,1,136,5,3.19,3.4,8.0,115,5500,18,22,17450.0,9.767094927630573,4.912654885736052,4.74493212836325,2.0794415416798357,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.6902762923577822,-0.030997892244340953,15640,50832
6,2,1,99.8,177.3,66.3,53.1,2507,3,1,136,5,3.19,3.4,8.5,110,5500,19,25,15250.0,9.632334782035558,4.912654885736052,4.700480365792417,2.1400661634962708,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0.3152714576017243,-0.23307250938687626,14960,47633
7,1,0,105.8,192.7,71.4,55.7,2844,3,1,136,5,3.19,3.4,8.5,110,5500,19,25,17710.0,9.781884730776879,4.912654885736052,4.700480365792417,2.1400661634962708,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,2.717077294773885,0.9775486642872511,14960,54036
8,1,0,105.8,192.7,71.4,55.7,2954,3,1,136,5,3.19,3.4,8.5,110,5500,19,25,18920.0,9.847974842605868,4.912654885736052,4.700480365792417,2.1400661634962708,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,2.8113253142647334,0.9585401777938147,14960,56126
9,1,0,105.8,192.7,71.4,55.9,3086,3,1,131,5,3.13,3.4,8.3,140,5500,17,20,23875.0,10.08058716534893,4.875197323201151,4.941642422609304,2.1162555148025524,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,3.1652081588261853,0.6448351874976546,18340,52462
10,0,1,99.5,178.2,67.9,52.0,3053,3,1,131,5,3.13,3.4,7.0,160,5500,16,22,17859.167,9.790272212805272,4.875197323201151,5.075173815233827,1.9459101490553132,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,1.4346408215013522,-1.2800695943511244,20960,48848
11,2,1,101.2,176.8,64.8,54.3,2395,3,2,108,5,3.5,2.8,8.8,101,5800,23,29,16430.0,9.706864211031315,4.68213122712422,4.61512051684126,2.174751721484161,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,-0.25940600206590747,0.5604664134208709,10908,55085
12,0,0,101.2,176.8,64.8,54.3,2395,3,2,108,5,3.5,2.8,8.8,101,5800,23,29,16925.0,9.736547097780475,4.68213122712422,4.61512051684126,2.174751721484161,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,-0.25940600206590747,0.5604664134208709,10908,55085
13,0,1,101.2,176.8,64.8,54.3,2710,3,3,164,5,3.31,3.19,9.0,121,4250,21,28,20970.0,9.950848123895966,5.099866427824199,4.795790545596741,2.1972245773362196,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,0.7248748908473572,-0.18965816785662515,19844,56910
14,0,0,101.2,176.8,64.8,54.3,2765,3,3,164,5,3.31,3.19,9.0,121,4250,21,28,21105.0,9.9572652582166,5.099866427824199,4.795790545596741,2.1972245773362196,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,0.7719989005927814,-0.19916241110334343,19844,58065
15,1,0,103.5,189.0,66.9,55.7,3055,3,3,164,5,3.31,3.19,9.0,121,4250,20,25,24565.0,10.109077944602749,5.099866427824199,4.795790545596741,2.1972245773362196,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,2.106337066089772,0.4397461747536204,19844,61100
16,0,0,103.5,189.0,66.9,55.7,3230,3,3,209,5,3.62,3.39,8.0,182,5400,16,22,30760.0,10.333970423619581,5.342334251964811,5.204006687076795,2.0794415416798357,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,3.2399793246463733,-0.7320065226957646,38038,51680
17,0,1,103.5,193.8,67.9,53.7,3380,3,3,209,5,3.62,3.39,8.0,182,5400,16,22,40960.0,10.628980909135285,5.342334251964811,5.204006687076795,2.0794415416798357,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,3.582385736506546,-1.2926503902791568,38038,54080
18,0,0,110.0,197.0,70.9,56.3,3505,3,3,209,5,3.62,3.39,8.0,182,5400,15,20,36880.0,10.51542467767053,5.342334251964811,5.204006687076795,2.0794415416798357,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,5.002719501475684,-0.16345120608692754,38038,52575
19,2,1,88.4,141.1,60.3,53.2,1819,2,4,70,1,2.91,3.03,9.5,52,5100,47,53,5195.0,8.546946149565585,4.110873864173311,3.871201010907891,2.2512917986064953,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-4.591453760919915,0.10489180396961133,3640,85493
20,1,1,94.5,155.9,63.6,52.0,1874,3,2,90,1,3.03,3.11,9.6,70,5400,38,43,6295.0,8.747510946478448,4.499809670330265,4.248495242049359,2.2617630984737906,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-2.723745179185193,-0.1344008844396802,6300,71212
21,0,0,94.5,158.8,63.6,52.0,1909,3,2,90,1,3.03,3.11,9.6,70,5400,38,43,6575.0,8.791029857045965,4.499809670330265,4.248495242049359,2.2617630984737906,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-2.5934744255544557,-0.10142233863524526,6300,72542
22,1,1,93.7,157.3,63.8,50.8,1876,3,2,90,1,2.97,3.23,9.41,68,5500,37,41,5572.0,8.625509334899697,4.499809670330265,4.219507705176107,2.2417729535972883,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-2.793521022994387,-0.491122518082252,6120,69412
23,1,1,93.7,157.3,63.8,50.8,1876,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,6377.0,8.760453046315272,4.499809670330265,4.219507705176107,2.2407096892759584,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-2.793521022994387,-0.491122518082252,6120,58156
24,1,1,93.7,157.3,63.8,50.8,2128,3,2,98,5,3.03,3.39,7.6,102,5500,24,30,7957.0,8.981807323377534,4.584967478670572,4.624972813284271,2.028148247292285,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,-2.191604390827615,-1.0378038019564169,9996,51072
25,1,0,93.7,157.3,63.8,50.6,1967,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,6229.0,8.736971085254146,4.499809670330265,4.219507705176107,2.2407096892759584,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-2.730313405928866,-0.5659220346418743,6120,60977
26,1,0,93.7,157.3,63.8,50.6,1989,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,6692.0,8.808668062106715,4.499809670330265,4.219507705176107,2.2407096892759584,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-2.7114638020306963,-0.5697237319405615,6120,61659
27,1,0,93.7,157.3,63.8,50.6,1989,3,2,90,1,2.97,3.23,9.4,68,5500,31,38,7609.0,8.937087036176523,4.499809670330265,4.219507705176107,2.2407096892759584,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-2.7114638020306963,-0.5697237319405615,6120,61659
28,1,1,93.7,157.3,63.8,50.6,2191,3,2,98,5,3.03,3.39,7.6,102,5500,24,30,8558.0,9.054621796976763,4.584967478670572,4.624972813284271,2.028148247292285,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,-2.1523871787234006,-1.1077647946813463,9996,52584
29,-1,0,103.3,174.6,64.6,59.8,2535,3,2,122,1,3.34,3.46,8.5,88,5000,24,30,8921.0,9.096163326913784,4.804021044733257,4.477336814478207,2.1400661634962708,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,0.30281106600843005,2.3104473832256325,10736,60840
30,3,1,95.9,173.2,66.3,50.2,2811,3,2,156,4,3.6,3.9,7.0,145,5000,19,24,12964.0,9.469931564261438,5.049856007249537,4.976733742420574,1.9459101490553132,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,0.4745656723490062,-2.0262706434586777,22620,53409
31,2,1,86.6,144.6,63.9,50.8,1819,3,2,92,0,2.91,3.41,9.6,58,4800,49,54,6479.0,8.776321456449958,4.5217885770490405,4.060443010546419,2.2617630984737906,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-3.7974445200049214,-0.9382174534170129,5336,89131
32,2,1,86.6,144.6,63.9,50.8,1819,3,2,92,0,2.91,3.41,9.2,76,6000,31,38,6855.0,8.832733591996416,4.5217885770490405,4.330733340286331,2.2192034840549946,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-3.633328110100714,-1.1715776110001936,6992,56389
33,1,1,93.7,150.0,64.0,52.6,1837,3,2,79,0,2.91,3.07,10.1,60,5500,38,42,5399.0,8.593969030218288,4.3694478524670215,4.0943445622221,2.312535423847214,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-3.0848666397094084,0.1367683307506696,4740,69806
34,1,1,93.7,150.0,64.0,52.6,1940,3,2,92,0,2.91,3.41,9.2,76,6000,30,34,6529.0,8.784009071186633,4.5217885770490405,4.330733340286331,2.2192034840549946,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-2.7272263161214467,-0.18976941193390282,6992,58200
35,1,1,93.7,150.0,64.0,52.6,1956,3,2,92,0,2.91,3.41,9.2,76,6000,30,34,7129.0,8.871926251117628,4.5217885770490405,4.330733340286331,2.2192034840549946,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-2.713517513286414,-0.19253428269658454,6992,58680
36,0,0,96.5,163.4,64.0,54.5,2010,3,2,92,0,2.91,3.41,9.2,76,6000,30,34,7295.0,8.894944460956886,4.5217885770490405,4.330733340286331,2.2192034840549946,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-1.8809361729602523,0.6971156767924525,6992,60300
37,0,0,96.5,157.1,63.9,58.3,2024,3,2,92,0,2.92,3.41,9.2,76,6000,30,34,7295.0,8.894944460956886,4.5217885770490405,4.330733340286331,2.2192034840549946,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,-1.825885125963593,1.7331838381822149,6992,60720
38,0,1,96.5,167.5,65.2,53.3,2236,3,2,110,0,3.15,3.58,9.0,86,5800,27,33,7895.0,8.973984926689743,4.700480365792417,4.454347296253507,2.1972245773362196,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-1.1372839409676905,0.07858385178292134,9460,60372
39,0,1,96.5,167.5,65.2,53.3,2289,3,2,110,0,3.15,3.58,9.0,86,5800,27,33,9095.0,9.115480090952223,4.700480365792417,4.454347296253507,2.1972245773362196,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-1.0918735315766455,0.06942521738153824,9460,61803
40,0,0,96.5,175.4,65.2,54.1,2304,3,2,110,0,3.15,3.58,9.0,86,5800,27,33,8845.0,9.087607606593886,4.700480365792417,4.454347296253507,2.1972245773362196,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-0.7467926965839259,0.40944452285060645,9460,62208
41,0,0,96.5,175.4,62.5,54.1,2372,3,2,110,0,3.15,3.58,9.0,86,5800,27,33,10295.0,9.23941361946189,4.700480365792417,4.454347296253507,2.1972245773362196,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-1.2164157591464602,0.4208489720117412,9460,64044
42,0,0,96.5,175.4,65.2,54.1,2465,3,2,110,5,3.15,3.58,9.0,101,5800,24,28,12945.0,9.468464892185638,4.700480365792417,4.61512051684126,2.1972245773362196,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-0.4720841931362389,0.1871562128151383,11110,59160
43,1,1,96.5,169.1,66.0,51.0,2293,3,2,110,1,3.15,3.58,9.1,100,5500,25,31,10345.0,9.244258590179644,4.700480365792417,4.605170185988092,2.2082744135228043,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-0.9188151000804231,-0.7774517696227603,11000,57325
44,0,0,94.3,170.7,61.8,53.5,2337,3,2,111,1,3.31,3.23,8.5,78,4800,24,29,6785.0,8.82246957226897,4.709530201312334,4.356708826689592,2.1400661634962708,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,-1.7970694568382155,0.1646430343019593,8658,56088
45,1,1,94.5,155.9,63.6,52.0,1874,3,2,90,1,3.03,3.11,9.6,70,5400,38,43,8916.5,9.095658771892568,4.499809670330265,4.248495242049359,2.2617630984737906,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-2.723745179185193,-0.1344008844396802,6300,71212
46,0,0,94.5,155.9,63.6,52.0,1909,3,2,90,1,3.03,3.11,9.6,70,5400,38,43,8916.5,9.095658771892568,4.499809670330265,4.248495242049359,2.2617630984737906,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-2.693757172983559,-0.14044903923304639,6300,72542
47,2,1,96.0,172.6,65.2,51.4,2734,3,2,119,7,3.43,3.23,9.2,90,5000,24,29,11048.0,9.310004695089129,4.77912349311153,4.499809670330265,2.2192034840549946,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,-0.585119527203444,-0.6501546440170533,10710,65616
48,0,0,113.0,199.6,69.6,52.8,3950,0,3,258,5,3.63,4.17,8.1,176,4750,15,19,32250.0,10.381273322223919,5.552959584921617,5.170483995038151,2.0918640616783932,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,5.568001134785787,-1.3633853544399255,45408,59250
49,0,0,113.0,199.6,69.6,52.8,3950,0,3,258,5,3.63,4.17,8.1,176,4750,15,19,35550.0,10.478695435231387,5.552959584921617,5.170483995038151,2.0918640616783932,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,5.568001134785787,-1.3633853544399255,45408,59250
50,0,1,102.0,191.7,70.6,47.8,3950,5,5,304,5,3.54,2.76,11.5,207,5000,13,17,36000.0,10.491274217438248,5.786897381366708,5.568344503761097,2.4423470353692043,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,5.123197180400641,-4.3340390153547155,62928,51350
51,1,1,93.1,159.1,64.2,54.1,1890,3,2,91,1,3.03,3.15,9.0,68,5000,30,31,5195.0,8.555451903533328,4.51085950651685,4.219507705176107,2.1972245773362196,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-2.4271672123789454,0.46044633942618424,6188,56700
52,1,1,93.1,159.1,64.2,54.1,1900,3,2,91,1,3.03,3.15,9.0,68,5000,31,38,6095.0,8.715224041915372,4.51085950651685,4.219507705176107,2.1972245773362196,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-2.41859921060705,0.4587182951995082,6188,58900
53,1,1,93.1,159.1,64.2,54.1,1905,3,2,91,1,3.03,3.15,9.0,68,5000,31,38,6795.0,8.823942326585245,4.51085950651685,4.219507705176107,2.1972245773362196,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-2.4143152097211025,0.45785427308617016,6188,59055
54,1,0,93.1,166.8,64.2,54.1,1945,3,2,91,1,3.03,3.15,9.0,68,5000,31,38,6695.0,8.809116258125274,4.51085950651685,4.219507705176107,2.1972245773362196,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-2.113775218080384,0.5545647150081102,6188,60295
55,1,0,93.1,166.8,64.2,54.1,1950,3,2,91,1,3.08,3.15,9.0,68,5000,31,38,7395.0,8.9085593751449,4.51085950651685,4.219507705176107,2.1972245773362196,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,-2.1094912171944364,0.5537006928947723,6188,60450
56,3,1,95.3,169.0,65.7,49.6,2380,6,6,70,2,3.33,3.255,9.4,101,6000,17,23,10945.0,9.300638009956963,4.248495242049359,4.61512051684126,2.2407096892759584,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,-1.4589260115560527,-0.9735040468799641,7070,40460
57,3,1,95.3,169.0,65.7,49.6,2380,6,6,70,2,3.33,3.255,9.4,101,6000,17,23,11845.0,9.379661116592885,4.248495242049359,4.61512051684126,2.2407096892759584,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,-1.4589260115560527,-0.9735040468799641,7070,40460
58,3,1,95.3,169.0,65.7,49.6,2385,6,6,70,2,3.33,3.255,9.4,101,6000,17,23,13645.0,9.521128433142438,4.248495242049359,4.61512051684126,2.2407096892759584,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,-1.454642010670105,-0.9743680689933021,7070,40545
59,3,1,95.3,169.0,65.7,49.6,2500,6,6,80,5,3.33,3.255,9.4,135,6000,16,23,15645.0,9.657906656102982,4.382026634673881,4.90527477843843,2.2407096892759584,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,-0.9511056716876439,-1.5129609371104296,10800,40000
60,1,1,98.8,177.8,66.5,53.7,2385,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,8845.0,9.087607606593886,4.804021044733257,4.430816798843313,2.151762203259462,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-0.12390076655105745,0.3601920237825087,10248,62010
61,0,0,98.8,177.8,66.5,55.5,2410,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,8495.0,9.047233034106032,4.804021044733257,4.430816798843313,2.151762203259462,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0.03037002940721618,0.887540740087659,10248,62660
62,1,1,98.8,177.8,66.5,53.7,2385,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,10595.0,9.2681374707024,4.804021044733257,4.430816798843313,2.151762203259462,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,-0.12390076655105745,0.3601920237825087,10248,62010
63,0,0,98.8,177.8,66.5,55.5,2410,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,10245.0,9.234545060673,4.804021044733257,4.430816798843313,2.151762203259462,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,0.03037002940721618,0.887540740087659,10248,62660
64,0,0,98.8,177.8,66.5,55.5,2443,3,2,122,3,3.39,3.39,22.7,64,4650,36,42,10795.0,9.286838342948908,4.804021044733257,4.1588830833596715,3.122364924487357,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,-0.12370713130575951,1.1411272581209397,7808,87948
65,0,0,98.8,177.8,66.5,55.5,2425,3,2,122,1,3.39,3.39,8.6,84,4800,26,32,11245.0,9.327678864393416,4.804021044733257,4.430816798843313,2.151762203259462,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,0.0432220320650591,0.884948673747645,10248,63050
66,0,0,104.9,175.0,66.1,54.4,2670,3,2,140,5,3.76,3.16,8.0,120,5000,19,27,18280.0,9.813562845008141,4.941642422609304,4.787491742782046,2.0794415416798357,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,0.8942071763308568,0.21946536581334525,16800,50730
67,0,0,104.9,175.0,66.1,54.4,2700,3,2,134,3,3.43,3.64,22.0,72,4200,31,39,18344.0,9.81705782453774,4.897839799950911,4.276666119016055,3.091042453358316,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.4252634286300261,0.8833323571337389,9648,83700
